Price,District,City,Town,EnergyCertificate,Parking,ConstructionYear,Garage,Elevator,NumberOfBathrooms,AreaAssigned,RoomsAssigned,PricePerSqm,Region
285000.0,Porto,Paredes,Paredes,B,2.0,2016.0,false,true,2.0,165.0,3.0,1727.2727272727273,Norte
8000.0,Faro,Albufeira,Albufeira e Olhos de Água,NC,1.0,1990.0,False,true,1.0,28.0,0.0,285.7142857142857,Algarve
745000.0,Lisboa,Lisboa,Campolide,D,1.0,2003.0,False,true,3.0,133.0,3.0,5601.503759398496,Lisboa
212000.0,Setúbal,Palmela,Palmela,D,0.0,1983.0,False,true,2.0,99.0,3.0,2141.4141414141413,Lisboa
1345050.0,Lisboa,Lisboa,Misericórdia,NC,1.0,2022.0,False,true,3.0,166.0,4.0,8102.710843373494,Lisboa
335000.0,Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,B-,1.0,2021.0,False,true,2.0,70.0,3.0,4785.714285714285,Norte
190000.0,Porto,Penafiel,Penafiel,E,0.0,2021.0,false,false,2.0,103.0,2.0,1844.6601941747572,Norte
450000.0,Aveiro,Ílhavo,Gafanha da Nazaré,A,1.0,2024.0,False,true,3.0,132.0,4.0,3409.090909090909,Centro
165000.0,Aveiro,Anadia,Sangalhos,NC,0.0,2024.0,True,false,2.0,193.0,2.0,854.9222797927462,Centro
230000.0,Porto,Vila Nova de Gaia,Arcozelo,C,1.0,1996.0,false,true,2.0,99.0,3.0,2323.2323232323233,Norte
4000.0,Faro,Albufeira,Albufeira e Olhos de Água,B-,0.0,1985.0,false,true,1.0,30.0,0.0,133.33333333333334,Algarve
445000.0,Faro,Faro,Faro (Sé e São Pedro),A,1.0,2023.0,false,true,2.0,113.0,3.0,3938.0530973451328,Algarve
155000.0,Setúbal,Seixal,Amora,E,0.0,1995.0,false,false,1.0,74.0,2.0,2094.5945945945946,Lisboa
195000.0,Lisboa,Sintra,Cacém e São Marcos,D,0.0,1994.0,false,true,1.0,72.0,2.0,2708.3333333333335,Lisboa
920000.0,Lisboa,Lisboa,Alvalade,C,2.0,1986.0,false,true,3.0,175.0,4.0,5257.142857142857,Lisboa
185000.0,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",D,0.0,1993.0,False,false,1.0,81.0,4.0,2283.9506172839506,Norte
365000.0,Lisboa,Lisboa,São Vicente,D,0.0,1951.0,False,false,1.0,60.0,2.0,6083.333333333333,Lisboa
175000.0,Setúbal,Setúbal,São Sebastião,E,0.0,2002.0,false,false,2.0,111.0,4.0,1576.5765765765766,Lisboa
169000.0,Santarém,Tomar,Tomar (São João Baptista) e Santa Maria dos Olivais,C,1.0,1980.0,false,true,1.0,80.0,3.0,2112.5,Centro
